Número Artículo,Cantidad Surtida,Cantidad Por Facturar,Id Docto Cargo,Folio Factura,Serie Factura,Tipo Documento,Estado Venta,Fecha,Descripción,Fecha Vencimiento,Usuario Alta,Observaciones,OCCliente,No. Docto. Venta
129839CUM,1.0000,0.0000,3610501,3622174,110330ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,10/02/2026 21:49:39,"LAINA CUADRADA P/BOBINA DE PARO NH/NT,N14, M11, ISM ISX",01/03/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,27/01/2026 COTIZACIÓN MARIO RICO,,4545
1820K1N,13.0000,0.0000,3589504,3589521,109047ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,09/01/2026 18:42:52,"MALACATE SOLDABLE KINEDYNE P/TENSAR BANDA DE 4"", SUJECION DE CARGA",01/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,16/12/2025 COTIZACIÓN STOCK PATIO 1706 MARIO RICO,,4443
1820K1N,13.0000,0.0000,3589504,3589521,109047ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,09/01/2026 18:42:52,"MALACATE SOLDABLE KINEDYNE P/TENSAR BANDA DE 4"", SUJECION DE CARGA",01/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,16/12/2025 COTIZACIÓN STOCK PATIO 1706 MARIO RICO,,4443
25523011,1.0000,0.0000,3595593,3606877,109734ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,19/01/2026 15:28:16,BOLSA DE AIRE P/SUSPENSION DE DORMITORIO KW T680,06/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,17-18/01/2026 YONATAN COBOS,,4482
25523013,2.0000,0.0000,3657961,,,Salidas en Vale,Devuelta,23/04/2026 10:28:53,"AMORTIGUADOR P/SUSPENSION TRASERA DE CABINA KW T680, OP-66201M0R, 08308107I",03/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,1,4725
25523013,2.0000,0.0000,3661687,,,Salidas en Vale,Devuelta,28/04/2026 21:51:21,"AMORTIGUADOR P/SUSPENSION TRASERA DE CABINA KW T680, OP-66201M0R, 08308107I",08/05/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,01/04/2026 COTIZACIÓN MARIO RICO,4700417762,4750
2866337CUM,1.0000,0.0000,3585120,,,Salidas en Vale,Devuelta,03/01/2026 11:53:26,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",15/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,02/01/2026 COTIZACIÓN MARIO RICO,,4430
2866337CUM,1.0000,0.0000,3588284,,,Salidas en Vale,Devuelta,08/01/2026 13:04:52,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",18/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,06/01/2026   cotización Yonatan Cobos,,4434
2866337CUM,2.0000,0.0000,3588604,,,Salidas en Vale,Devuelta,08/01/2026 13:32:53,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",20/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,07/01/2026 cotización Yonatan Cobos,,4435
2866337CUM,4.0000,0.0000,3589240,,,Salidas en Vale,Devuelta,09/01/2026 14:40:05,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",19/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,08/01/2026 COTIZACION   YONATAN COBOS,,4440
2866337CUM,1.0000,0.0000,3589442,3589448,109041ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,09/01/2026 16:57:58,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",04/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,13-14/12/25 - COTIZACIÓN MARIO RICO ,,4442
2866337CUM,1.0000,0.0000,3589505,3589574,109049ARLF,Salidas en Vale,Facturada,09/01/2026 19:52:07,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",01/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,17/12/2025 COTIZACIÓN MARIO RICO,,4444
2866337CUM,1.0000,0.0000,3589505,3589574,109049ARLF,Salidas en Vale,Facturada,09/01/2026 19:52:07,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",01/02/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,17/12/2025 COTIZACIÓN MARIO RICO,,4444
2866337CUM,1.0000,0.0000,3589508,,,Salidas en Vale,Devuelta,09/01/2026 21:53:41,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",27/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,22/12/2025 COTIZACION YONATAN COBOS,,4447
2866337CUM,1.0000,0.0000,3589509,3590051,109083ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,09/01/2026 22:20:51,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",19/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,23/12/2025 cotización Yonatan Cobos,,4448
2866337CUM,1.0000,0.0000,3589509,3590051,109083ARLF,Salidas en Vale,Parcialmente Devuelta y Parcialmente Facturada,09/01/2026 22:20:51,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",19/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,23/12/2025 cotización Yonatan Cobos,,4448
2866337CUM,1.0000,0.0000,3589717,3589954,109077ARLF,Salidas en Vale,Facturada,10/01/2026 11:26:37,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",20/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,18/12/2025 COTIZACIÓN MARIO RICO,,4450
2866337CUM,1.0000,0.0000,3589717,3589954,109077ARLF,Salidas en Vale,Facturada,10/01/2026 11:26:37,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",20/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,18/12/2025 COTIZACIÓN MARIO RICO,,4450
2866337CUM,1.0000,0.0000,3589896,3589933,109074ARLF,Salidas en Vale,Facturada,10/01/2026 12:57:03,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",28/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,22/12/2025 COTIZACION YONATAN COBOS,,4451
2866337CUM,1.0000,0.0000,3589896,3589933,109074ARLF,Salidas en Vale,Facturada,10/01/2026 12:57:03,"JUNTA DE ASBESTO 5"" TUBO DE ESCAPE AL CATALIZADOR VARIAS APLICACIONES",28/01/2026 00:00:00,CONSIGNA SAN LUIS POTOSI,22/12/2025 COTIZACION YONATAN COBOS,,4451
